"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Cheilanthes","NISP","spore","NA","Vascular plants","VACR","Cheilanthes","NA"
"Claytosmunda claytoniana","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Cryptogramma","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Cryptogramma cf. C. stelleri","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Cystopteris","NISP","spore","NA","Vascular plants","VACR","Cystopteris","NA"
"Cystopteris bulbifera","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Cystopteris fragilis","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Dennstaedtia","NISP","spore","NA","Vascular plants","VACR","Dennstaedtia","NA"
"Diphasiastrum complanatum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Diphasiastrum complanatum-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Diphasiastrum tristachyum","NISP","spore","NA","Vascular plants","VACR","Diphasiastrum tristachyum","NA"
"Dryopteris","NISP","spore","NA","Vascular plants","VACR","Dryopteris","NA"
"Dryopteris campyloptera","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Dryopteris carthusiana","NISP","spore","NA","Vascular plants","VACR","Dryopteris carthusiana","NA"
"Dryopteris carthusiana-type","NISP","spore","NA","Vascular plants","VACR","Dryopteris carthusiana-type","NA"
"Dryopteris cf. D. filix-mas","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Dryopteris cf. D. fragrans","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Dryopteris cf. D. goldiana","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Dryopteris fragrans","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Dryopteris goldiana","NISP","spore","NA","Vascular plants","VACR","Dryopteris goldiana","NA"
"Dryopteris-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Dryopteris-type undiff.","NISP","spore","NA","Vascular plants","VACR","Dryopteris-type undiff.","NA"
"Equisetum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Equisetum-type","NISP","spore","NA","Vascular plants","VACR","Equisetum-type","NA"
"Gymnocarpium","NISP","spore","NA","Vascular plants","VACR","Gymnocarpium","NA"
"Gymnocarpium robertianum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Gymnocarpium-type","NISP","spore","NA","Vascular plants","VACR","Gymnocarpium-type","NA"
"Huperzia","NISP","spore","NA","Vascular plants","VACR","Huperzia","NA"
"Huperzia lucidula","NISP","spore","NA","Vascular plants","VACR","Huperzia lucidula","NA"
"Huperzia lucidula-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Huperzia selago","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Huperzia selago-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Hymenophyllaceae","NISP","spore","NA","Vascular plants","VACR","Hymenophyllaceae","NA"
"Leptosporangiatae","NISP digitized","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodiaceae","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodiaceae cf. Diphasiastrum complanatum","NISP","spore","NA","Vascular plants","VACR","Lycopodiaceae cf. Diphasiastrum complanatum","NA"
"Lycopodiaceae cf. Lycopodium annotinum","NISP","spore","NA","Vascular plants","VACR","Lycopodiaceae cf. Lycopodium annotinum","NA"
"Lycopodiaceae cf. Lycopodium clavatum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodiaceae undiff.","NISP","spore","NA","Vascular plants","VACR","Lycopodiaceae undiff.","NA"
"Lycopodiella inundata","NISP","spore","NA","Vascular plants","VACR","Lycopodiella inundata","NA"
"Lycopodium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodium annotinum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodium annotinum-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodium cf. L. clavatum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodium clavatum","NISP","spore","NA","Vascular plants","VACR","Lycopodium clavatum","NA"
"Lycopodium clavatum-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodium obscurum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodium obscurum-type","NISP","spore","NA","Vascular plants","VACR","Lycopodium obscurum-type","NA"
"Lycopodium undiff.","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Lycopodium-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Matteuccia","NISP","spore","NA","Vascular plants","VACR","Matteuccia","NA"
"Matteuccia/Onoclea","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Onoclea","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Onoclea sensibilis","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Ophioglossum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Ophioglossum cf. O. vulgatum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Ophioglossum vulgatum","NISP","spore","NA","Vascular plants","VACR","Ophioglossum vulgatum","NA"
"Osmunda","NISP","spore","NA","Vascular plants","VACR","Osmunda","NA"
"Osmunda regalis","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Osmunda regalis-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Osmunda regalis/O. claytoniana","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Osmundaceae undiff.","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Osmundastrum cinnamomeum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodiaceae","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodiophyta","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodiophyta (monolete) undiff.","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodiophyta (trilete)","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodiophyta (with perine)","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodiophyta (without perine)","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodiophyta undiff.","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodium virginianum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodium vulgare","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Polypodium-type","NISP","spore","NA","Vascular plants","VACR","Polypodium-type","NA"
"Polystichum","NISP","spore","NA","Vascular plants","VACR","Polystichum","NA"
"Pteridium","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Pteridium aquilinum","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Pteridium-type","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Pteridophyta","NISP","spore","NA","Vascular plants","VACR","Pteridophyta","NA"
"Pteridophyta undiff.","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Rugutriletes regularis","NISP","spore","anachronic","Vascular plants","VACR","NA","NA"
"Selaginella","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Selaginella densa-type","NISP","spore","NA","Vascular plants","VACR","Selaginella densa-type","NA"
"Selaginella rupestris","NISP","spore","NA","Vascular plants","VACR","Selaginella rupestris","NA"
"Selaginella selaginoides","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Striatriletes","NISP","spore","anachronic","Vascular plants","VACR","NA","NA"
"Thelypteris","NISP","spore","NA","Vascular plants","VACR","Thelypteris","NA"
"Thelypteris palustris","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Thelypteris palustris-type","NISP","spore","NA","Vascular plants","VACR","Thelypteris palustris-type","NA"
"Woodsia","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Woodsia cf. W. ilvensis","NISP","spore","NA","Vascular plants","VACR","NA","NA"
"Woodsia obtusa","NISP","spore","NA","Vascular plants","VACR","NA","NA"
